customer_id,name,gender,age,city,sim_type,join_date,is_active,device_type,referred_by
1,Misha Saini,Other,52,Ujjain,Postpaid,2023-06-26,True,Android,3975
2,Veer Hari,Male,54,Indore,Postpaid,2023-01-21,True,Android,1184
3,Anvi Tailor,Other,36,Bhopal,Postpaid,2023-11-12,True,Android,4842
4,Tarini Kulkarni,Other,46,Gwalior,Prepaid,2023-02-21,True,Feature Phone,1278
5,Ivana Dyal,Male,24,Ujjain,Prepaid,2023-08-21,True,Android,1952
6,Yakshit Ravi,Male,45,Gwalior,Postpaid,2023-05-03,True,iOS,3922
7,Keya Dasgupta,Other,26,Gwalior,Postpaid,2023-12-28,True,Feature Phone,3425
8,Onkar Sule,Female,45,Ujjain,Prepaid,2023-04-10,True,Android,1326
9,Reyansh Dara,Other,23,Jabalpur,Prepaid,2023-08-02,True,Android,1172
10,Vaibhav Tripathi,Other,46,Bhopal,Postpaid,2023-11-23,True,Feature Phone,4317
11,Ryan Rout,Other,34,Bhopal,Prepaid,2023-05-15,True,Feature Phone,3770
12,Hansh Thaman,Other,33,Indore,Prepaid,2023-11-14,True,Android,1872
13,Chirag Andra,Male,40,Indore,Postpaid,2023-08-06,False,Feature Phone,3632
14,Devansh Jaggi,Other,48,Indore,Prepaid,2023-03-29,False,iOS,2311
15,Indranil Jain,Female,20,Bhopal,Prepaid,2023-10-07,True,iOS,2344
16,Gatik Sur,Male,38,Jabalpur,Prepaid,2023-02-09,True,iOS,3387
17,Vardaniya Mall,Female,43,Bhopal,Postpaid,2023-08-28,True,Android,3068
18,Eva Bains,Female,53,Bhopal,Prepaid,2023-11-28,True,iOS,2340
19,Romil Kannan,Female,59,Bhopal,Postpaid,2023-05-16,True,Feature Phone,684
20,Dhanush Vyas,Female,54,Bhopal,Prepaid,2023-07-01,False,iOS,876
21,Nayantara Barman,Male,39,Jabalpur,Prepaid,2023-09-22,True,Feature Phone,1055
22,Drishya Seshadri,Male,59,Indore,Postpaid,2023-09-16,True,iOS,3754
23,Indranil Gulati,Female,29,Gwalior,Postpaid,2023-07-01,True,Feature Phone,2603
24,Rohan Sura,Female,59,Indore,Postpaid,2023-01-21,True,iOS,4015
25,Zoya Dewan,Male,30,Indore,Postpaid,2023-12-17,True,iOS,349
26,Tanya Sunder,Male,28,Gwalior,Prepaid,2023-07-15,True,iOS,4315
27,Tiya Bhat,Male,33,Bhopal,Postpaid,2023-07-31,True,Feature Phone,1023
28,Ayesha Kashyap,Other,25,Jabalpur,Postpaid,2023-01-16,True,Feature Phone,450
29,Ehsaan Ranganathan,Other,57,Jabalpur,Postpaid,2023-07-21,True,iOS,504
30,Veer Ramachandran,Other,57,Indore,Prepaid,2023-12-29,True,Feature Phone,86
31,Mohanlal Dave,Female,19,Gwalior,Prepaid,2023-08-06,False,Feature Phone,3323
32,Yuvaan Banerjee,Other,47,Ujjain,Postpaid,2023-04-03,True,Android,523
33,Gokul Bhasin,Female,47,Bhopal,Postpaid,2023-05-13,True,iOS,3152
34,Hiran Khatri,Female,29,Indore,Postpaid,2023-05-19,True,Feature Phone,3693
35,Indrans Sundaram,Other,27,Jabalpur,Postpaid,2023-06-06,True,Feature Phone,2509
36,Tanya Dalal,Female,28,Gwalior,Prepaid,2023-12-01,True,Feature Phone,630
37,Miraan Krish,Other,32,Gwalior,Postpaid,2023-03-11,True,Feature Phone,18
38,Ivana Bora,Other,33,Indore,Prepaid,2023-10-31,True,Android,1269
39,Arhaan Zacharia,Male,34,Ujjain,Postpaid,2023-01-15,True,Feature Phone,1177
40,Vritika De,Other,43,Jabalpur,Postpaid,2023-08-23,True,Feature Phone,1633
41,Ritvik Gill,Male,19,Indore,Prepaid,2023-07-31,True,Android,4596
42,Devansh Karan,Other,29,Ujjain,Postpaid,2023-10-17,False,iOS,4554
43,Advik Boase,Other,43,Gwalior,Postpaid,2023-03-01,False,iOS,3770
44,Siya Kadakia,Male,40,Bhopal,Postpaid,2023-09-09,False,Android,3614
45,Heer Trivedi,Male,35,Jabalpur,Postpaid,2023-01-02,True,iOS,115
46,Jivika Upadhyay,Other,49,Jabalpur,Prepaid,2023-08-24,False,iOS,753
47,Vihaan Ben,Female,55,Ujjain,Postpaid,2023-12-02,True,Android,4865
48,Adah Srivastava,Male,20,Indore,Postpaid,2023-01-19,True,Feature Phone,2401
49,Farhan Chaudhry,Female,55,Gwalior,Prepaid,2023-02-18,True,Android,1871
50,Kismat Mangal,Female,20,Ujjain,Postpaid,2023-03-19,True,Android,2589
51,Yakshit Dube,Female,47,Bhopal,Prepaid,2023-01-28,True,Android,322
52,Rhea Zachariah,Male,18,Bhopal,Postpaid,2023-02-17,True,Android,4322
53,Heer Ben,Female,47,Bhopal,Postpaid,2023-04-06,True,Android,3828
54,Zaina Roy,Male,49,Ujjain,Postpaid,2023-06-14,True,Feature Phone,4457
55,Baiju Agarwal,Female,45,Gwalior,Prepaid,2023-12-31,True,iOS,834
56,Jayan Sama,Other,38,Jabalpur,Prepaid,2023-06-25,True,Android,4208
57,Rhea Anne,Other,30,Indore,Postpaid,2023-03-14,True,Feature Phone,212
58,Saira Chacko,Male,44,Jabalpur,Prepaid,2023-12-22,True,Android,1257
59,Aradhya Batta,Other,53,Gwalior,Postpaid,2023-01-29,False,Feature Phone,159
60,Elakshi Khare,Other,24,Jabalpur,Prepaid,2023-06-06,True,iOS,2620
61,Madhav Ahluwalia,Female,39,Ujjain,Postpaid,2023-11-10,True,Feature Phone,1348
62,Umang Kalita,Male,27,Bhopal,Prepaid,2023-10-31,True,Feature Phone,3165
63,Aaryahi Arora,Female,56,Gwalior,Postpaid,2023-10-06,True,iOS,3213
64,Charvi Uppal,Female,32,Gwalior,Prepaid,2023-10-10,True,iOS,911
65,Anahita Keer,Female,32,Jabalpur,Prepaid,2023-01-07,True,Feature Phone,2452
66,Hazel Raman,Female,21,Ujjain,Prepaid,2023-11-01,False,Android,3804
67,Urvi Gera,Female,49,Jabalpur,Prepaid,2023-07-01,True,Android,404
68,Samar Sathe,Female,40,Jabalpur,Postpaid,2023-04-19,True,iOS,1842
69,Nirvi Sur,Female,23,Gwalior,Postpaid,2023-11-20,True,Android,2649
70,Dishani Vyas,Male,41,Jabalpur,Prepaid,2023-07-25,True,iOS,1691
71,Mamooty Ravel,Other,37,Bhopal,Postpaid,2023-08-22,True,Feature Phone,3486
72,Stuvan Bhalla,Female,54,Jabalpur,Prepaid,2023-07-06,True,Feature Phone,1257
73,Dhanuk Hans,Female,37,Bhopal,Postpaid,2023-11-25,True,Android,4289
74,Anay Atwal,Female,29,Gwalior,Prepaid,2023-12-23,True,iOS,3185
75,Vihaan Dhawan,Female,50,Ujjain,Postpaid,2023-01-08,True,Android,1643
76,Drishya Bajaj,Female,45,Bhopal,Postpaid,2023-02-22,True,Android,3353
77,Indranil Mani,Female,25,Ujjain,Prepaid,2023-07-18,True,Feature Phone,523
78,Lakshay Gour,Other,18,Ujjain,Prepaid,2023-05-17,True,Android,4446
79,Aarav Tata,Other,54,Bhopal,Prepaid,2023-09-16,True,Feature Phone,1945
80,Yuvraj  Konda,Female,39,Gwalior,Prepaid,2023-11-30,True,iOS,3572
81,Vanya Apte,Other,23,Indore,Prepaid,2023-06-21,True,Android,1561
